date,Total_Cases,Total_Deaths,Total_Country_Cases,Total_Country_Deaths,Total_Territory_Cases,Total_Territory_Deaths,Total_FR_Territory_Cases,Total_FR_Territory_Deaths,Total_NL_Territory_Cases,Total_NL_Territory_Deaths,Total_UK_Territory_Cases,Total_UK_Territory_Deaths,Total_US_Territory_Cases,Total_US_Territory_Deaths
23/4/2020,9886,481,7566,357,2320,124,463,29,192,15,195,8,1470,72
24/4/2020,10196,501,7859,367,2337,134,474,30,194,15,199,9,1470,80
25/4/2020,10360,515,8115,375,2245,140,479,30,194,15,210,9,1362,86
26/4/2020,10718,527,8406,384,2312,143,479,30,195,16,210,9,1428,88
27/4/2020,10935,535,8603,390,2332,145,479,31,195,16,212,10,1446,88
28/4/2020,11136,542,8775,396,2361,146,493,30,197,16,212,10,1459,90
29/4/2020,11479,550,9081,404,2398,146,493,30,197,16,216,10,1492,90
30/4/2020,11992,571,9472,419,2520,152,499,30,197,16,219,10,1605,96
1/5/2020,12401,588,9839,434,2562,154,503,30,198,16,220,10,1641,98
2/5/2020,12981,605,10237,449,2744,156,503,30,198,16,220,11,1823,99
3/5/2020,13459,617,10662,459,2797,158,504,30,198,16,221,11,1874,101
4/5/2020,13826,634,10987,476,2839,158,510,30,198,16,222,11,1909,101
5/5/2020,14183,647,11259,486,2924,161,510,30,199,17,225,11,1990,103
6/5/2020,14590,656,11612,494,2978,162,516,31,199,17,229,11,2034,103
7/5/2020,15009,675,11964,509,3045,166,518,31,199,18,231,11,2097,106
8/5/2020,15458,688,12278,517,3180,171,525,31,199,18,232,11,2224,111
