date,Antigua_and_Barbuda,Bahamas,Barbados,Belize,Cuba,Dominica,Dominican_Republic,Grenada,Guyana,Haiti,Jamaica,Martinique,Saint_Kitts_and_Nevis,Saint_Lucia,Saint_Vincent_and_the_Grenadines,Suriname,Trinidad_and_Tobago
9/4/2020,2,8,3,1,15,0,118,0,6,2,4,6,0,0,0,1,8
10/4/2020,2,8,4,2,15,0,126,0,6,2,4,6,0,0,0,1,8
11/4/2020,2,8,4,2,16,0,135,0,6,2,4,6,0,0,0,1,8
12/4/2020,2,8,4,2,18,0,173,0,6,3,4,6,0,0,0,1,8
13/4/2020,2,8,4,2,21,0,177,0,6,3,4,6,0,0,0,1,8
14/4/2020,2,8,4,2,21,0,183,0,6,3,4,8,0,0,0,1,8
15/4/2020,2,8,5,2,24,0,189,0,6,3,5,8,0,0,0,1,8
16/4/2020,3,8,5,2,27,0,196,0,6,3,5,8,0,0,0,1,8
17/4/2020,3,9,5,2,31,0,200,0,6,3,5,8,0,0,0,1,8
18/4/2020,3,9,5,2,32,0,217,0,6,3,5,8,0,0,0,1,8
19/4/2020,3,9,5,2,34,0,226,0,7,3,5,12,0,0,0,1,8
20/4/2020,3,9,5,2,36,0,235,0,7,3,5,12,0,0,0,1,8
21/4/2020,3,9,5,2,38,0,245,0,7,3,6,14,0,0,0,1,8
22/4/2020,3,9,5,2,40,0,260,0,7,4,6,14,0,0,0,1,8
23/4/2020,3,11,6,2,43,0,265,0,7,5,6,14,0,0,0,1,8
24/4/2020,3,11,6,2,49,0,267,0,7,6,7,14,0,0,0,1,8
