date,Anguilla,Aruba,Bermuda,Bonaire_Sint_Eustatius_and_Saba,British_Virgin_Islands,Cayman_Islands,Curacao,French_Guiana,Guadeloupe,Martinique,Montserrat,Puerto_Rico,Saint_Barthelemy,Saint_Martin,Sint_Maarten,Turks_and_Caicos_Islands,United_States_Virgin_Islands
3/7/2020,3,104,146,7,8,201,25,4558,184,249,11,7683,6,43,77,44,98
4/7/2020,3,105,146,7,8,201,25,4913,184,249,11,7787,6,43,78,45,111
5/7/2020,3,105,146,7,8,201,25,4913,184,249,11,7916,6,44,78,47,111
6/7/2020,3,105,146,7,8,201,25,5054,184,249,11,8585,6,44,78,48,112
7/7/2020,3,105,148,7,8,201,25,5178,184,249,11,8714,6,44,78,49,116
8/7/2020,3,105,149,7,8,201,25,5459,184,249,11,8745,6,44,78,55,122
9/7/2020,3,105,149,7,8,201,25,5558,184,249,11,8862,6,44,78,55,144
10/7/2020,3,105,150,7,8,201,25,5704,190,255,11,9137,6,44,78,66,153
11/7/2020,3,105,150,7,8,201,25,5949,190,255,12,9366,6,44,78,71,167
12/7/2020,3,105,150,7,8,201,25,5949,190,255,12,9654,6,44,78,71,181
13/7/2020,3,105,150,7,8,203,25,6170,190,255,12,10010,6,44,78,72,206
14/7/2020,3,106,150,7,8,203,26,6229,190,255,12,10123,6,44,78,72,206
15/7/2020,3,106,150,9,8,203,26,6299,190,255,12,10379,6,44,78,72,243
16/7/2020,3,108,152,9,8,203,26,6393,190,255,12,10574,6,44,79,74,249
17/7/2020,3,111,152,10,8,203,28,6509,195,255,12,11120,6,46,79,74,263
18/7/2020,3,111,153,10,8,203,28,6655,195,262,12,11453,6,46,79,75,283
