date,Anguilla,Aruba,Bermuda,Bonaire_Sint_Eustatius_and_Saba,British_Virgin_Islands,Cayman_Islands,Curacao,French_Guiana,Guadeloupe,Martinique,Montserrat,Puerto_Rico,Saint_Barthelemy,Saint_Martin,Sint_Maarten,Turks_and_Caicos_Islands,United_States_Virgin_Islands
17/8/2020,0,4,9,0,1,1,1,53,14,16,1,335,0,5,17,2,9
18/8/2020,0,4,9,0,1,1,1,53,15,16,1,346,0,5,17,2,9
19/8/2020,0,5,9,0,1,1,1,54,15,16,1,356,0,5,17,2,9
20/8/2020,0,6,9,0,1,1,1,54,15,16,1,367,0,5,17,2,10
21/8/2020,0,6,9,0,1,1,1,55,15,16,1,374,0,5,17,2,10
22/8/2020,0,7,9,0,1,1,1,55,15,16,1,381,0,5,17,2,10
23/8/2020,0,7,9,0,1,1,1,55,15,16,1,390,0,5,17,2,10
24/8/2020,0,7,9,0,1,1,1,56,15,16,1,390,0,5,17,2,11
25/8/2020,0,8,9,0,1,1,1,56,15,16,1,395,0,5,17,2,12
26/8/2020,0,8,9,0,1,1,1,56,15,16,1,404,0,5,17,3,14
27/8/2020,0,8,9,0,1,1,1,58,15,16,1,412,0,5,17,3,14
28/8/2020,0,9,9,0,1,1,1,58,16,16,1,424,0,5,17,3,14
29/8/2020,0,10,9,0,1,1,1,58,16,16,1,428,0,5,17,3,14
30/8/2020,0,10,9,0,1,1,1,58,16,16,1,434,0,5,17,3,14
31/8/2020,0,10,9,0,1,1,1,59,16,16,1,434,0,5,17,4,14
1/9/2020,0,10,9,0,1,1,1,60,16,18,1,435,0,5,19,4,15
